"state";"id";"huc";"dt";"peakflow";"base_med";"ros";"date";"smp";"mult";"temp_degc_av";"temp_degc_med";"temp_degc_min";"temp_degc_max";"prec_av";"prec_med";"prec_min";"prec_max";"prec_sum";"snow_dep_av";"snow_dep_med";"snow_dep_min";"snow_dep_max";"swe_av";"swe_med";"swe_min";"swe_max";"soil_mp8in_av";"soil_mp8in_med";"soil_mp8in_min";"soil_mp8in_max";"soil_mp20in_av";"soil_mp20in_med";"soil_mp20in_min";"soil_mp20in_max";"melt_av";"melt_med";"melt_min";"melt_max";"elev_av";"elev_med";"elev_min";"elev_max";"ros_num";"cv";"huc4";"geometry";"lon";"lat"
"CA";10289000;16050301;2023-05-21 18:00:00;757;202;"non-ros";2023-05-22;1;3,74752475247525;6,24;6,3;5,1;7;0,5;0;0;2,5;2,5;204,2;206;193;216;1060,68;1056,6;1010,9;1117,6;29,26;25,9;25,4;40,5;31,82;26,8;24,7;40,7;26,4;25,3999999999999;20,3000000000001;30,5;9400;9400;9400;9400;0;1;"1605";c(-119.2101533, 38.19186474);-119,2101533;38,19186474
"CA";10289500;16050301;2010-06-06 09:00:00;451;45,5;"non-ros";2010-06-06;1;9,91208791208791;7,16;8,3;4,3;9,3;0;0;0;0;0;42,8;43;28;56;170,16;175,3;116,8;218,4;25,42;21,7;20,9;40,4;24,6;15,6;12,7;40,6;33,52;25,4;20,3;66;9400;9400;9400;9400;0;1;"1605";c(-119.2337656, 38.17380969);-119,2337656;38,17380969
"CA";10289500;16050301;2023-06-19 06:00:00;427;149;"non-ros";2023-06-19;1;2,86577181208054;6,1;5,1;4,9;10,1;0;0;0;0;0;93,8;94;81;104;492,78;495,3;424,2;556,3;40,5;40,5;40,5;40,5;40,7;40,7;40,7;40,7;34,56;38,0999999999999;22,9;45,7;9400;9400;9400;9400;0;1;"1605";c(-119.2337656, 38.17380969);-119,2337656;38,17380969
"CA";10289500;16050301;2023-07-04 08:00:00;541;162;"non-ros";2023-07-04;1;3,33950617283951;9,82;10,5;5,7;12,9;0;0;0;0;0;9,2;8;0;23;33;33;0;78,7;33,26;33,3;32,1;34,4;31,22;27,9;23;40,7;15,74;20,3;0;33;9400;9400;9400;9400;0;1;"1605";c(-119.2337656, 38.17380969);-119,2337656;38,17380969
"CA";10290500;16050301;1995-07-10 14:00:00;608;500;"non-ros";1995-07-10;1;1,216;9,7;9,7;8;11,9;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;9400;9400;9400;9400;0;7;"1605";c(-119.3246032, 38.17214225);-119,3246032;38,17214225
"CA";10290500;16050301;1997-01-03 07:00:00;1170;38;"ros";1997-01-03;1;30,7894736842105;2,38;3,1;0,1;3,7;33,02;10,2;0;96,5;165,1;NA;NA;NA;NA;514,08;510,5;485,1;558,8;NA;NA;NA;NA;NA;NA;NA;NA;25,9;0;0;78,6999999999999;9400;9400;9400;9400;1;7;"1605";c(-119.3246032, 38.17214225);-119,3246032;38,17214225
"CA";10290500;16050301;2023-07-05 17:00:00;635;432;"non-ros";2023-07-06;1;1,46990740740741;11,44;11;10,4;12,9;0;0;0;0;0;1,6;0;0;8;6,6;0;0;33;31,92;32,1;30,3;33,3;23,46;23;20;27,9;6,6;0;0;33;9400;9400;9400;9400;0;7;"1605";c(-119.3246032, 38.17214225);-119,3246032;38,17214225
"CA";10293000;16050301;1997-01-04 03:00:00;1910;171;"ros";1997-01-04;1;11,1695906432749;1,52;3,1;-3;3,7;32;5,1;0;96,5;160;NA;NA;NA;NA;523,74;513,1;502,9;558,8;NA;NA;NA;NA;NA;NA;NA;NA;28,44;12,7;0;78,6999999999999;9400;9400;9400;9400;1;7;"1605";c(-119.2148759, 38.3276958);-119,2148759;38,3276958
"CA";10293000;16050301;2017-06-29 12:00:00;1560;820;"non-ros";2017-06-29;1;1,90243902439024;11,92;12,2;10,1;12,9;0;0;0;0;0;0;0;0;0;0;0;0;0;24,64;24,6;22,6;26,7;15,18;15,5;14;16;0;0;0;0;9400;9400;9400;9400;0;7;"1605";c(-119.2148759, 38.3276958);-119,2148759;38,3276958
"CA";10293000;16050301;2023-06-06 13:00:00;1330;1290;"ros";2023-06-06;1;1,03100775193798;4;4,1;2,3;5,6;2,04;0;0;10,2;10,2;144,2;142;137;155;749,8;754,4;711,2;787,4;40,5;40,5;40,5;40,5;40,7;40,7;40,7;40,7;18,8;17,8;15,1999999999999;28;9400;9400;9400;9400;1;7;"1605";c(-119.2148759, 38.3276958);-119,2148759;38,3276958
"CA";10296000;16050302;1995-06-05 02:00:00;3050;1520;"non-ros";1995-06-05;1;2,00657894736842;2,76;3,25;-0,05;5,35;0,5;0;0;2,5;2,5;NA;NA;NA;NA;645,91;650,2;582,95;707,4;NA;NA;NA;NA;NA;NA;NA;NA;29,71;29,15;11,4500000000002;45,75;9009,5;9009,5;9009,5;9009,5;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;1995-07-09 04:00:00;3860;2550;"non-ros";1995-07-09;1;1,51372549019608;NA;NA;NA;NA;0;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;9009,5;9009,5;9009,5;9009,5;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;1996-05-16 11:00:00;4610;1030;"non-ros";1996-05-16;1;4,47572815533981;5,59;5,6;3,75;8,3;5,33;0;0;26,65;26,65;NA;NA;NA;NA;207,77;201,95;160;269,25;NA;NA;NA;NA;NA;NA;NA;NA;29,72;27,95;12,7;58,45;9009,5;9009,5;9009,5;9009,5;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;1997-01-02 15:00:00;12300;120;"ros";1997-01-02;1;102,5;-0,47;0,15;-5,1;2,1;35,56;17,75;1,25;82,55;177,8;NA;NA;NA;NA;475,73;481,3;458,45;490,2;NA;NA;NA;NA;NA;NA;NA;NA;15,25;3,85000000000002;0;52,1000000000001;9009,5;9009,5;9009,5;9009,5;1;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;2003-05-30 01:00:00;3010;1430;"non-ros";2003-05-30;1;2,10489510489511;7,62;7;3,65;12,4;0;0;0;0;0;NA;NA;NA;NA;178,55;181,6;102,85;251,45;NA;NA;NA;NA;NA;NA;NA;NA;33,02;33,05;2,5;59,65;9009,5;9009,5;9009,5;9009,5;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;2005-05-28 03:00:00;3470;2370;"non-ros";2005-05-28;1;1,46413502109705;5,38;5,5;4;7;0;0;0;0;0;108,4;107;94;122;512,58;510,5;431,8;596,9;26,36;26,1;25,8;27,2;35,08;35;34,8;35,6;37,6;38,1;33;45,6999999999998;9249;9249;9249;9249;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;2006-05-20 01:00:00;3770;1910;"non-ros";2006-05-20;1;1,9738219895288;6,96;6,8;5,5;8,8;1,02;0;0;5,1;5,1;123;122;109;137;614,68;614,7;541;680,7;27;27;26,3;27,8;34,98;34,8;34,4;36,4;20,32;25,4000000000001;12,6999999999999;30,5;9249;9249;9249;9249;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;2006-06-07;3510;1710;"non-ros";2006-06-07;1;2,05263157894737;NA;NA;NA;NA;0;0;0;0;0;15,2;15;0;33;68,6;50,8;33;149,9;NA;NA;NA;NA;NA;NA;NA;NA;25,4;15,2;2,6;48,2;9249;9249;9249;9249;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
"CA";10296000;16050302;2010-06-07;3730;485;"non-ros";2010-06-07;1;7,69072164948454;7,4;6,4;5,4;10;0;0;0;0;0;55,8;58;36;71;291,08;302,3;203,2;358,1;26,64;26,6;25,8;27,3;27,16;27,3;24,7;27,4;40,64;45,7;25,4;50,8;9249;9249;9249;9249;0;9;"1605";c(-119.4501649, 38.3796366);-119,4501649;38,3796366
